id,observed_on_string,observed_on,time_observed_at,time_zone,quality_grade,license,num_identification_agreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
45937140,2020-05-14 7:04:14 PM CDT,2020-05-14,2020-05-14 19:04:14 UTC,UTC,research,,1,false,"Eyota Township, MN, USA",43.955482,-92.3066749722,,,,,,,,false,gps,gps,white morel,Morchella americana,white morel,Fungi,462132
45937599,2020/05/03 11:30 AM CDT,2020-05-03,2020-05-03 16:30:00 UTC,Central Time (US & Canada),needs_id,CC-BY-NC,1,false,"McLean County, IL, USA",40.6435044199,-89.0424766433,2013,,,,2013,,,false,,,true morels,Morchella,true morels,Fungi,56830
45937753,Sun May 10 2020 15:59:47 GMT-0400 (EDT),2020-05-10,2020-05-10 19:59:47 UTC,Eastern Time (US & Canada),needs_id,,0,false,"Farmfield Ct, Baldwin, MD, US",39.5192880544,-76.5230454156,48,,,,48,,,false,,,,Morchella,true morels,Fungi,56830
45939611,Fri May 01 2020 13:07:15 GMT-0400 (EDT),2020-05-01,2020-05-01 17:07:15 UTC,Eastern Time (US & Canada),research,CC-BY-NC,1,false,,41.6102110282,-82.6734020414,34,,,,27754,obscured,,true,,,white morel,Morchella americana,white morel,Fungi,462132
45939701,2020/05/13 9:34 AM HST,2020-05-13,2020-05-13 19:34:00 UTC,Hawaii,needs_id,CC-BY-NC,0,false,"Calaveras County, US-CA, US",38.3792565441,-120.2379744238,,,,,28270,obscured,,true,,,Morchella snyderi,Morchella snyderi,,Fungi,473933
45941052,2020-05-14 12:43:35 PM EDT,2020-05-14,2020-05-14 16:43:35 UTC,Eastern Time (US & Canada),needs_id,,3,false,"Ontario, CA",42.302871484,-83.1687529864,,,,,27661,obscured,,true,gps,gps,Esculenta Clade,Morchella,Esculenta Clade,Fungi,1062674
45943192,Thu May 14 2020 23:42:30 GMT-0400 (EDT),2020-05-14,2020-05-15 03:42:30 UTC,Eastern Time (US & Canada),needs_id,,3,false,"Ottawa, CA-ON, CA",45.3767714315,-75.8252555045,26,,,,27190,obscured,,true,,,Esculenta Clade,Morchella,Esculenta Clade,Fungi,1062674
45948185,2020-05-14 7:24:11 PM MDT,2020-05-14,2020-05-15 01:24:11 UTC,Mountain Time (US & Canada),needs_id,CC-BY-NC,1,false,"Victor, MT 59875, USA",46.4648609722,-114.2128129722,,,,,,,,false,gps,gps,true morels,Morchella,true morels,Fungi,56830
45968048,Sat Apr 25 2020 17:22:39 GMT-0700 (PDT),2020-04-25,2020-04-26 00:22:39 UTC,Pacific Time (US & Canada),needs_id,,0,false,"CA-140, Coulterville, CA, US",37.6723949703,-119.7867897489,11642,,,,11642,,,false,,,,Morchella importuna,Landscaping Black Morel,Fungi,487375
45982171,2020-05-15 12:18:22 PM EDT,2020-05-15,2020-05-15 16:18:22 UTC,Eastern Time (US & Canada),research,CC-BY-NC,2,false,United States,42.9152980701,-72.4040806488,,,,,27568,obscured,,true,gps,gps,white morel,Morchella americana,white morel,Fungi,462132
