datetime,source_db,scientific_name,geometry,country,prov_state,level_01,level_02,eco_region,lulc
2018-10-05T06:15:00Z,inat,Morchella rufobrunnea,"c(5128222.57544258, -1301328.93640144)",MEX,NA,NA,NA,Chihuahuan Desert,17
2015-03-31T17:02:21Z,inat,Morchella rufobrunnea,"c(3567980.45527721, 324856.838281697)",USA,California,Ventura,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",1
2018-08-05T08:00:00Z,inat,Morchella rufobrunnea,"c(5229146.70873163, -2154693.58847989)",MEX,NA,NA,NA,"Hills and Sierras with Conifer, Oak, and Mixed Forests",5
2018-07-31T08:00:00Z,inat,Morchella rufobrunnea,"c(5255661.26969772, -2125271.95883115)",MEX,NA,NA,NA,"Hills and Sierras with Conifer, Oak, and Mixed Forests",5
2018-07-21T08:00:00Z,inat,Morchella rufobrunnea,"c(5583726.49060005, -2460943.54338748)",MEX,NA,NA,NA,"Sierras of Guerrero and Oaxaca with Conifer, Oak, and Mixed Forests",5
2018-09-09T23:12:00Z,inat,Morchella rufobrunnea,"c(5242641.06824998, -2169503.91986197)",MEX,NA,NA,NA,"Hills and Sierras with Conifer, Oak, and Mixed Forests",17
2018-09-20T16:03:00Z,inat,Morchella rufobrunnea,"c(4339759.71430802, -741282.63916443)",MEX,NA,NA,NA,"Sierra Madre Occidental with Conifer, Oak, and Mixed Forests",5
2017-04-08T19:55:00Z,inat,Morchella americana,"c(6687554.97661012, -34751.2554901675)",USA,Tennessee,Davidson,NA,Interior Plateau,15
2018-09-11T17:37:00Z,inat,Morchella rufobrunnea,"c(5315004.06615211, -2164716.07093192)",MEX,NA,NA,NA,"Hills and Sierras with Conifer, Oak, and Mixed Forests",10
2011-04-29T18:06:00Z,inat,Morchella americana,"c(6913853.3015114, 429821.663826024)",USA,Ohio,Greene,NA,Eastern Corn Belt Plains,17
2018-05-14T10:42:45Z,inat,Morchella americana,"c(6790301.94009745, 862797.126660318)",USA,Michigan,Isabella,NA,Huron/Erie Lake Plains,8
2015-06-19T07:00:00Z,inat,Morchella tomentosa,"c(4440267.9932416, -33889.7673681569)",USA,Arizona,Apache,NA,Arizona/New Mexico Mountains,8
